BLK,BlackRock,Financials
ICE,Intercontinental Exchange,Financials
VRSK,Verisk Analytics,Industrials
CHK,Chesapeake Energy,Energy
TROW,T. Rowe Price Group,Financials
WMB,Williams Cos.,Energy
BIIB,BIOGEN IDEC Inc.,Health Care
MMM,3M Company,Industrials
HCN,Welltower Inc.,Real Estate
CNP,CenterPoint Energy,Utilities
UA,Under Armour,Consumer Discretionary
CPB,Campbell Soup,Consumer Staples
PHM,Pulte Homes Inc.,Consumer Discretionary
FTI,FMC Technologies Inc.,Energy
PBCT,People's United Financial,Financials
LNC,Lincoln National,Financials
AMP,Ameriprise Financial,Financials
MLM,Martin Marietta Materials,Materials
OKE,ONEOK,Energy
DISCK,Discovery Communications-C,Consumer Discretionary
BBT,BB&T Corporation,Financials
LEN,Lennar Corp.,Consumer Discretionary
ROK,Rockwell Automation Inc.,Industrials
MON,Monsanto Co.,Materials
HUM,Humana Inc.,Health Care
DHR,Danaher Corp.,Health Care
CLX,The Clorox Company,Consumer Staples
BRK.B,Berkshire Hathaway,Financials
MSFT,Microsoft Corp.,Information Technology
STT,State Street Corp.,Financials
JNPR,Juniper Networks,Information Technology
SWKS,Skyworks Solutions,Information Technology
HAR,Harman Int'l Industries,Consumer Discretionary
ETN,Eaton Corporation,Industrials
CVS,CVS Health,Consumer Staples
BWA,BorgWarner,Consumer Discretionary
KMX,Carmax Inc,Consumer Discretionary
COO,The Cooper Companies,Health Care
FE,FirstEnergy Corp,Utilities
MNST,Monster Beverage,Consumer Staples
HRL,Hormel Foods Corp.,Consumer Staples
LH,Laboratory Corp. of America Holding,Health Care
ADS,Alliance Data Systems,Information Technology
EXR,Extra Space Storage,Real Estate
VNO,Vornado Realty Trust,Real Estate
AMT,American Tower Corp A,Real Estate
AMAT,Applied Materials Inc,Information Technology
EQIX,Equinix,Real Estate
MTB,M&T Bank Corp.,Financials
LVLT,Level 3 Communications,Telecommunications Services
VLO,Valero Energy,Energy
RL,Polo Ralph Lauren Corp.,Consumer Discretionary
VZ,Verizon Communications,Telecommunications Services
RRC,Range Resources Corp.,Energy
TAP,Molson Coors Brewing Company,Consumer Staples
DISCA,Discovery Communications-A,Consumer Discretionary
MET,MetLife Inc.,Financials
MO,Altria Group Inc,Consumer Staples
KORS,Michael Kors Holdings,Consumer Discretionary
CHD,Church & Dwight,Consumer Staples
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary
PAYX,Paychex Inc.,Information Technology
NRG,NRG Energy,Utilities
FITB,Fifth Third Bancorp,Financials
ZTS,Zoetis,Health Care
WYN,Wyndham Worldwide,Consumer Discretionary
AEE,Ameren Corp,Utilities
APA,Apache Corporation,Energy
NTAP,NetApp,Information Technology
DLR,Digital Realty Trust,Real Estate
L,Loews Corp.,Financials
WM,Waste Management Inc.,Industrials
HOLX,Hologic,Health Care
SYK,Stryker Corp.,Health Care
AMG,Affiliated Managers Group Inc,Financials
NDAQ,NASDAQ OMX Group,Financials
VTR,Ventas Inc,Real Estate
FDX,FedEx Corporation,Industrials
ITW,Illinois Tool Works,Industrials
GD,General Dynamics,Industrials
GPC,Genuine Parts,Consumer Discretionary
KIM,Kimco Realty,Real Estate
EXPE,Expedia Inc.,Consumer Discretionary
CNC,Centene Corporation,Health Care
AAPL,Apple Inc.,Information Technology
SEE,Sealed Air,Materials
K,Kellogg Co.,Consumer Staples
LLL,L-3 Communications Holdings,Industrials
TGNA,"Tegna, Inc.",Consumer Discretionary
CELG,Celgene Corp.,Health Care
COG,Cabot Oil & Gas,Energy
STZ,Constellation Brands,Consumer Staples
GPS,Gap (The),Consumer Discretionary
HBI,Hanesbrands Inc,Consumer Discretionary
CTSH,Cognizant Technology Solutions,Information Technology
IP,International Paper,Materials
EMR,Emerson Electric Company,Industrials
TXT,Textron Inc.,Industrials
PCLN,Priceline.com Inc,Consumer Discretionary
WFC,Wells Fargo,Financials
ORLY,O'Reilly Automotive,Consumer Discretionary
APC,Anadarko Petroleum Corp,Energy
LLY,Lilly (Eli) & Co.,Health Care
HD,Home Depot,Consumer Discretionary
LOW,Lowe's Cos.,Consumer Discretionary
EA,Electronic Arts,Information Technology
NWSA,News Corp. Class A,Consumer Discretionary
DLPH,Delphi Automotive,Consumer Discretionary
BAC,Bank of America Corp,Financials
SWK,Stanley Black & Decker,Consumer Discretionary
WDC,Western Digital,Information Technology
SYF,Synchrony Financial,Financials
UAL,United Continental Holdings,Industrials
LLTC,Linear Technology Corp.,Information Technology
GWW,Grainger (W.W.) Inc.,Industrials
SCG,SCANA Corp,Utilities
HP,Helmerich & Payne,Energy
SPGI,"S&P Global, Inc.",Financials
CAG,ConAgra Foods Inc.,Consumer Staples
IFF,Intl Flavors & Fragrances,Materials
ALB,Albemarle Corp,Materials
MAS,Masco Corp.,Industrials
ADP,Automatic Data Processing,Information Technology
OXY,Occidental Petroleum,Energy
SLB,Schlumberger Ltd.,Energy
CMS,CMS Energy,Utilities
MDLZ,Mondelez International,Consumer Staples
AET,Aetna Inc,Health Care
FBHS,Fortune Brands Home & Security,Industrials
MCK,McKesson Corp.,Health Care
SO,Southern Co.,Utilities
UDR,UDR Inc,Real Estate
MAA,Mid-America Apartments,Real Estate
CB,Chubb Limited,Financials
KHC,Kraft Heinz Co,Consumer Staples
MUR,Murphy Oil,Energy
KMB,Kimberly-Clark,Consumer Staples
QCOM,QUALCOMM Inc.,Information Technology
BAX,Baxter International Inc.,Health Care
COL,Rockwell Collins,Industrials
GT,Goodyear Tire & Rubber,Consumer Discretionary
RSG,Republic Services Inc,Industrials
VRSN,Verisign Inc.,Information Technology
GPN,Global Payments Inc,Information Technology
LUK,Leucadia National Corp.,Financials
URI,"United Rentals, Inc.",Industrials
GE,General Electric,Industrials
COP,ConocoPhillips,Energy
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary
NEM,Newmont Mining Corp. (Hldg. Co.),Materials
AWK,American Water Works Company Inc,Utilities
NFLX,Netflix Inc.,Information Technology
AAP,Advance Auto Parts,Consumer Discretionary
FLR,Fluor Corp.,Industrials
MAR,Marriott Int'l.,Consumer Discretionary
CMA,Comerica Inc.,Financials
CVX,Chevron Corp.,Energy
DG,Dollar General,Consumer Discretionary
TSS,Total System Services,Information Technology
PWR,Quanta Services Inc.,Industrials
GGP,General Growth Properties Inc.,Real Estate
MCO,Moody's Corp,Financials
AIZ,Assurant Inc,Financials
ISRG,Intuitive Surgical Inc.,Health Care
ETFC,E*Trade,Financials
BLL,Ball Corp,Materials
ATVI,Activision Blizzard,Information Technology
SJM,JM Smucker,Consumer Staples
KSS,Kohl's Corp.,Consumer Discretionary
UAA,Under Armour,Consumer Discretionary
BK,The Bank of New York Mellon Corp.,Financials
ZBH,Zimmer Biomet Holdings,Health Care
MPC,Marathon Petroleum,Energy
BBBY,Bed Bath & Beyond,Consumer Discretionary
MKC,McCormick & Co.,Consumer Staples
INTU,Intuit Inc.,Information Technology
PYPL,PayPal,Information Technology
KSU,Kansas City Southern,Industrials
ALL,Allstate Corp,Financials
SYY,Sysco Corp.,Consumer Staples
AVY,Avery Dennison Corp,Materials
YHOO,Yahoo Inc.,Information Technology
HAL,Halliburton Co.,Energy
NFX,Newfield Exploration Co,Energy
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary
BCR,Bard (C.R.) Inc.,Health Care
SRCL,Stericycle Inc,Industrials
RTN,Raytheon Co.,Industrials
HES,Hess Corporation,Energy
ILMN,Illumina Inc,Health Care
TWX,Time Warner Inc.,Consumer Discretionary
PFE,Pfizer Inc.,Health Care
FLIR,FLIR Systems,Information Technology
ZION,Zions Bancorp,Financials
DVN,Devon Energy Corp.,Energy
D,Dominion Resources,Utilities
OMC,Omnicom Group,Consumer Discretionary
RIG,Transocean,Energy
SYMC,Symantec Corp.,Information Technology
BBY,Best Buy Co. Inc.,Consumer Discretionary
CSCO,Cisco Systems,Information Technology
PRU,Prudential Financial,Financials
BEN,Franklin Resources,Financials
BF.B,Brown-Forman Corp.,Consumer Staples
AVGO,Broadcom,Information Technology
EFX,Equifax Inc.,Industrials
LUV,Southwest Airlines,Industrials
DAL,Delta Air Lines,Industrials
CBS,CBS Corp.,Consumer Discretionary
HPQ,HP Inc.,Information Technology
ANTM,Anthem Inc.,Health Care
XLNX,Xilinx Inc,Information Technology
WHR,Whirlpool Corp.,Consumer Discretionary
FMC,FMC Corporation,Materials
NSC,Norfolk Southern Corp.,Industrials
PCAR,PACCAR Inc.,Industrials
M,Macy's Inc.,Consumer Discretionary
WBA,Walgreens Boots Alliance,Consumer Staples
PH,Parker-Hannifin,Industrials
ALK,Alaska Air Group Inc,Industrials
F,Ford Motor,Consumer Discretionary
VRTX,Vertex Pharmaceuticals Inc,Health Care
HSY,The Hershey Company,Consumer Staples
SPLS,Staples Inc.,Consumer Discretionary
DE,Deere & Co.,Industrials
NAVI,Navient,Financials
JBHT,J. B. Hunt Transport Services,Industrials
MAT,Mattel Inc.,Consumer Discretionary
MSI,Motorola Solutions Inc.,Information Technology
FTR,Frontier Communications,Telecommunications Services
ROST,Ross Stores,Consumer Discretionary
HCP,HCP Inc.,Real Estate
GLW,Corning Inc.,Information Technology
GOOGL,Alphabet Inc Class A,Information Technology
COF,Capital One Financial,Financials
REG,Regency Centers Corporation,Real Estate
JWN,Nordstrom,Consumer Discretionary
CL,Colgate-Palmolive,Consumer Staples
ALXN,Alexion Pharmaceuticals,Health Care
VIAB,Viacom Inc.,Consumer Discretionary
MDT,Medtronic plc,Health Care
COST,Costco Co.,Consumer Staples
WLTW,Willis Towers Watson,Financials
DOW,Dow Chemical,Materials
CTL,CenturyLink Inc,Telecommunications Services
HOG,Harley-Davidson,Consumer Discretionary
PPG,PPG Industries,Materials
DTE,DTE Energy Co.,Utilities
LMT,Lockheed Martin Corp.,Industrials
EXC,Exelon Corp.,Utilities
TJX,TJX Companies Inc.,Consumer Discretionary
COH,Coach Inc.,Consumer Discretionary
DOV,Dover Corp.,Industrials
PDCO,Patterson Companies,Health Care
EVHC,Envision Healthcare,Health Care
DD,Du Pont (E.I.),Materials
ADSK,Autodesk Inc,Information Technology
GRMN,Garmin Ltd.,Consumer Discretionary
C,Citigroup Inc.,Financials
ESRX,Express Scripts,Health Care
PSA,Public Storage,Real Estate
ABBV,AbbVie,Health Care
DFS,Discover Financial Services,Financials
V,Visa Inc.,Information Technology
DNB,Dun & Bradstreet,Industrials
PNR,Pentair Ltd.,Industrials
CINF,Cincinnati Financial,Financials
FFIV,F5 Networks,Information Technology
MJN,Mead Johnson,Consumer Staples
CF,CF Industries Holdings Inc,Materials
TRIP,TripAdvisor,Consumer Discretionary
AVB,"AvalonBay Communities, Inc.",Real Estate
ETR,Entergy Corp.,Utilities
IVZ,Invesco Ltd.,Financials
CBOE,CBOE Holdings,Financials
MNK,Mallinckrodt Plc,Health Care
SHW,Sherwin-Williams,Materials
JNJ,Johnson & Johnson,Health Care
UPS,United Parcel Service,Industrials
EXPD,Expeditors Int'l,Industrials
VFC,V.F. Corp.,Consumer Discretionary
TEL,TE Connectivity Ltd.,Information Technology
NWL,Newell Brands,Consumer Discretionary
EIX,Edison Int'l,Utilities
FTV,Fortive Corp,Industrials
SWN,Southwestern Energy,Energy
EBAY,eBay Inc.,Information Technology
LNT,Alliant Energy Corp,Utilities
TRV,The Travelers Companies Inc.,Financials
STI,SunTrust Banks,Financials
AKAM,Akamai Technologies Inc,Information Technology
AZO,AutoZone Inc,Consumer Discretionary
CERN,Cerner,Health Care
KEY,KeyCorp,Financials
GS,Goldman Sachs Group,Financials
PM,Philip Morris International,Consumer Staples
SNA,Snap-On Inc.,Consumer Discretionary
HON,Honeywell Int'l Inc.,Industrials
TDC,Teradata Corp.,Information Technology
MOS,The Mosaic Company,Materials
ABT,Abbott Laboratories,Health Care
WMT,Wal-Mart Stores,Consumer Staples
SRE,Sempra Energy,Utilities
AAL,American Airlines Group,Industrials
NOV,National Oilwell Varco Inc.,Energy
GILD,Gilead Sciences,Health Care
KO,Coca Cola Company,Consumer Staples
IPG,Interpublic Group,Consumer Discretionary
NVDA,Nvidia Corporation,Information Technology
ABC,AmerisourceBergen Corp,Health Care
TSO,Tesoro Petroleum Co.,Energy
UTX,United Technologies,Industrials
IBM,International Business Machines,Information Technology
MTD,Mettler Toledo,Health Care
CSRA,CSRA Inc.,Information Technology
ACN,Accenture plc,Information Technology
AIG,"American International Group, Inc.",Financials
JEC,Jacobs Engineering Group,Industrials
EOG,EOG Resources,Energy
CAH,Cardinal Health Inc.,Health Care
CFG,Citizens Financial Group,Financials
NWS,News Corp. Class B,Consumer Discretionary
MHK,Mohawk Industries,Consumer Discretionary
MAC,Macerich,Real Estate
VMC,Vulcan Materials,Materials
PNW,Pinnacle West Capital,Utilities
HPE,Hewlett Packard Enterprise,Information Technology
EL,Estee Lauder Cos.,Consumer Staples
MRO,Marathon Oil Corp.,Energy
BDX,Becton Dickinson,Health Care
ADM,Archer-Daniels-Midland Co,Consumer Staples
AJG,Arthur J. Gallagher & Co.,Financials
WEC,Wec Energy Group Inc,Utilities
TIF,Tiffany & Co.,Consumer Discretionary
FSLR,First Solar Inc,Information Technology
ADBE,Adobe Systems Inc,Information Technology
TXN,Texas Instruments,Information Technology
DPS,Dr Pepper Snapple Group,Consumer Staples
AXP,American Express Co,Financials
LEG,Leggett & Platt,Consumer Discretionary
DIS,The Walt Disney Company,Consumer Discretionary
ALLE,Allegion,Industrials
MS,Morgan Stanley,Financials
XEL,Xcel Energy Inc,Utilities
INTC,Intel Corp.,Information Technology
AMZN,Amazon.com Inc,Consumer Discretionary
NTRS,Northern Trust Corp.,Financials
BA,Boeing Company,Industrials
PEP,PepsiCo Inc.,Consumer Staples
GOOG,Alphabet Inc Class C,Information Technology
LRCX,Lam Research,Information Technology
HSIC,Henry Schein,Health Care
AGN,"Allergan, Plc",Health Care
PGR,Progressive Corp.,Financials
TDG,TransDigm Group,Industrials
TMO,Thermo Fisher Scientific,Health Care
BHI,Baker Hughes Inc,Energy
YUM,Yum! Brands Inc,Consumer Discretionary
PKI,PerkinElmer,Health Care
URBN,Urban Outfitters,Consumer Discretionary
MA,Mastercard Inc.,Information Technology
HAS,Hasbro Inc.,Consumer Discretionary
AMGN,Amgen Inc,Health Care
DUK,Duke Energy,Utilities
T,AT&T Inc,Telecommunications Services
PRGO,Perrigo,Health Care
CMCSA,Comcast Corp.,Consumer Discretionary
CBG,CBRE Group,Real Estate
RF,Regions Financial Corp.,Financials
DHI,D. R. Horton,Consumer Discretionary
SBUX,Starbucks Corp.,Consumer Discretionary
AYI,Acuity Brands Inc,Industrials
ESS,"Essex Property Trust, Inc.",Real Estate
USB,U.S. Bancorp,Financials
MU,Micron Technology,Information Technology
DGX,Quest Diagnostics,Health Care
ED,Consolidated Edison,Utilities
FOX,Twenty-First Century Fox Class B,Consumer Discretionary
TGT,Target Corp.,Consumer Discretionary
PG,Procter & Gamble,Consumer Staples
CA,"CA, Inc.",Information Technology
CMG,Chipotle Mexican Grill,Consumer Discretionary
A,Agilent Technologies Inc,Health Care
MYL,Mylan N.V.,Health Care
XOM,Exxon Mobil Corp.,Energy
FAST,Fastenal Co,Industrials
FRT,Federal Realty Investment Trust,Real Estate
NOC,Northrop Grumman Corp.,Industrials
FB,"Facebook, Inc.",Information Technology
ARNC,Arconic Inc,Industrials
ORCL,Oracle Corp.,Information Technology
DRI,Darden Restaurants,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
GM,General Motors,Consumer Discretionary
GIS,General Mills,Consumer Staples
CRM,Salesforce.com,Information Technology
JPM,JPMorgan Chase & Co.,Financials
NKE,Nike,Consumer Discretionary
MCD,McDonald's Corp.,Consumer Discretionary
FL,Foot Locker Inc,Consumer Discretionary
